filename,cx_norm,cy_norm,tx_norm,ty_norm
frame_000000.png,0.5,0.5,0.482292,0.438532
frame_000001.png,0.5,0.5,0.602604,0.438532
frame_000002.png,0.5,0.5,0.503125,0.453211
frame_000003.png,0.5,0.5,0.661979,0.814679
frame_000004.png,0.5,0.5,0.508333,0.470642
frame_000005.png,0.5,0.5,0.669792,0.787156
frame_000006.png,0.5,0.5,0.596354,0.60367
frame_000007.png,0.5,0.5,0.496875,0.454128
frame_000008.png,0.5,0.5,0.496875,0.455046
frame_000009.png,0.5,0.5,0.578646,0.453211
frame_000010.png,0.5,0.5,0.3875,0.450459
frame_000011.png,0.5,0.5,0.665625,0.820183
frame_000012.png,0.5,0.5,0.510938,0.451376
frame_000013.png,0.5,0.5,0.673958,0.793578
frame_000014.png,0.5,0.5,0.351042,0.42844
frame_000015.png,0.5,0.5,0.489063,0.434862
frame_000016.png,0.5,0.5,0.522917,0.441284
frame_000017.png,0.5,0.5,0.59375,0.592661
frame_000018.png,0.5,0.5,0.470313,0.431193
frame_000019.png,0.5,0.5,0.404687,0.440367
frame_000020.png,0.5,0.5,0.673958,0.444037
frame_000021.png,0.5,0.5,0.516146,0.43945
frame_000022.png,0.5,0.5,0.265104,0.441284
frame_000023.png,0.5,0.5,0.563021,0.445872
frame_000024.png,0.5,0.5,0.482292,0.449541
frame_000025.png,0.5,0.5,0.439583,0.447706
frame_000026.png,0.5,0.5,0.508854,0.450459
frame_000027.png,0.5,0.5,0.470313,0.453211
frame_000028.png,0.5,0.5,0.459896,0.448624
frame_000029.png,0.5,0.5,0.323958,0.454128
frame_000030.png,0.5,0.5,0.542708,0.450459
frame_000031.png,0.5,0.5,0.477604,0.450459
frame_000032.png,0.5,0.5,0.411458,0.444037
frame_000033.png,0.5,0.5,0.445833,0.444037
frame_000034.png,0.5,0.5,0.6625,0.816514
frame_000035.png,0.5,0.5,0.456771,0.448624
frame_000036.png,0.5,0.5,0.671354,0.791743
frame_000037.png,0.5,0.5,0.29375,0.456881
frame_000038.png,0.5,0.5,0.528125,0.455046
frame_000039.png,0.5,0.5,0.569792,0.456881
frame_000040.png,0.5,0.5,0.352083,0.454128
frame_000041.png,0.5,0.5,0.561458,0.455963
frame_000042.png,0.5,0.5,0.291667,0.457798
frame_000043.png,0.5,0.5,0.519792,0.455963
frame_000044.png,0.5,0.5,0.505208,0.455963
frame_000045.png,0.5,0.5,0.629167,0.454128
frame_000046.png,0.5,0.5,0.63125,0.544954
frame_000047.png,0.5,0.5,0.528125,0.455963
frame_000048.png,0.5,0.5,0.417187,0.454128
frame_000049.png,0.5,0.5,0.675521,0.455046
frame_000050.png,0.5,0.5,0.519271,0.457798
frame_000051.png,0.5,0.5,0.493229,0.454128
frame_000052.png,0.5,0.5,0.569792,0.456881
frame_000053.png,0.5,0.5,0.508854,0.449541
frame_000054.png,0.5,0.5,0.665104,0.818349
frame_000055.png,0.5,0.5,0.48125,0.444037
frame_000056.png,0.5,0.5,0.489063,0.443119
frame_000057.png,0.5,0.5,0.489583,0.444954
frame_000058.png,0.5,0.5,0.523438,0.447706
frame_000059.png,0.5,0.5,0.346354,0.444954
frame_000060.png,0.5,0.5,0.411979,0.444037
frame_000061.png,0.5,0.5,0.585417,0.451376
frame_000062.png,0.5,0.5,0.513021,0.451376
frame_000063.png,0.5,0.5,0.274479,0.454128
frame_000064.png,0.5,0.5,0.663542,0.817431
frame_000065.png,0.5,0.5,0.482292,0.454128
frame_000066.png,0.5,0.5,0.714583,0.456881
frame_000067.png,0.5,0.5,0.670833,0.789908
frame_000068.png,0.5,0.5,0.563021,0.452294
frame_000069.png,0.5,0.5,0.326562,0.444037
frame_000070.png,0.5,0.5,0.633854,0.545872
frame_000071.png,0.5,0.5,0.482812,0.449541
frame_000072.png,0.5,0.5,0.593229,0.598165
frame_000073.png,0.5,0.5,0.4875,0.468807
frame_000074.png,0.5,0.5,0.261979,0.455046
frame_000075.png,0.5,0.5,0.485417,0.459633
frame_000076.png,0.5,0.5,0.532292,0.442202
frame_000077.png,0.5,0.5,0.696875,0.444037
frame_000078.png,0.5,0.5,0.671354,0.790826
frame_000079.png,0.5,0.5,0.591667,0.452294
frame_000080.png,0.5,0.5,0.458854,0.443119
frame_000081.png,0.5,0.5,0.490625,0.449541
frame_000082.png,0.5,0.5,0.485938,0.448624
frame_000083.png,0.5,0.5,0.504687,0.445872
frame_000084.png,0.5,0.5,0.260417,0.46422
frame_000085.png,0.5,0.5,0.664062,0.817431
frame_000086.png,0.5,0.5,0.495312,0.452294
frame_000087.png,0.5,0.5,0.506771,0.455046
frame_000088.png,0.5,0.5,0.566146,0.449541
frame_000089.png,0.5,0.5,0.584375,0.449541
frame_000090.png,0.5,0.5,0.664062,0.816514
frame_000091.png,0.5,0.5,0.594271,0.598165
frame_000092.png,0.5,0.5,0.472396,0.450459
frame_000093.png,0.5,0.5,0.502083,0.436697
frame_000094.png,0.5,0.5,0.504687,0.433945
frame_000095.png,0.5,0.5,0.531771,0.447706
frame_000096.png,0.5,0.5,0.502604,0.446789
frame_000097.png,0.5,0.5,0.59375,0.59633
frame_000098.png,0.5,0.5,0.505208,0.445872
frame_000099.png,0.5,0.5,0.365625,0.452294
frame_000100.png,0.5,0.5,0.507292,0.437615
frame_000101.png,0.5,0.5,0.51875,0.43945
frame_000102.png,0.5,0.5,0.595833,0.590826
frame_000103.png,0.5,0.5,0.5375,0.442202
frame_000104.png,0.5,0.5,0.457292,0.43578
frame_000105.png,0.5,0.5,0.460938,0.43945
frame_000106.png,0.5,0.5,0.377604,0.43945
frame_000107.png,0.5,0.5,0.505729,0.43945
frame_000108.png,0.5,0.5,0.535937,0.433945
frame_000109.png,0.5,0.5,0.385417,0.443119
frame_000110.png,0.5,0.5,0.529687,0.443119
frame_000111.png,0.5,0.5,0.592187,0.593578
frame_000112.png,0.5,0.5,0.496875,0.451376
frame_000113.png,0.5,0.5,0.547396,0.455046
frame_000114.png,0.5,0.5,0.552083,0.457798
frame_000115.png,0.5,0.5,0.508333,0.42844
frame_000116.png,0.5,0.5,0.513542,0.43578
frame_000117.png,0.5,0.5,0.40625,0.434862
frame_000118.png,0.5,0.5,0.318229,0.446789
frame_000119.png,0.5,0.5,0.670833,0.790826
frame_000120.png,0.5,0.5,0.483854,0.458716
frame_000121.png,0.5,0.5,0.405729,0.459633
frame_000122.png,0.5,0.5,0.332292,0.453211
frame_000123.png,0.5,0.5,0.653125,0.450459
frame_000124.png,0.5,0.5,0.585938,0.441284
frame_000125.png,0.5,0.5,0.549479,0.444954
frame_000126.png,0.5,0.5,0.495312,0.445872
frame_000127.png,0.5,0.5,0.445833,0.451376
frame_000128.png,0.5,0.5,0.663542,0.818349
frame_000129.png,0.5,0.5,0.503125,0.453211
frame_000130.png,0.5,0.5,0.486458,0.447706
frame_000131.png,0.5,0.5,0.671354,0.789908
frame_000132.png,0.5,0.5,0.495312,0.446789
frame_000133.png,0.5,0.5,0.492708,0.442202
frame_000134.png,0.5,0.5,0.626042,0.438532
frame_000135.png,0.5,0.5,0.507292,0.448624
frame_000136.png,0.5,0.5,0.348958,0.422018
frame_000137.png,0.5,0.5,0.478646,0.279817
frame_000138.png,0.5,0.5,0.4875,0.440367
frame_000139.png,0.5,0.5,0.4875,0.440367
frame_000140.png,0.5,0.5,0.522917,0.421101
frame_000141.png,0.5,0.5,0.497917,0.454128
frame_000142.png,0.5,0.5,0.4875,0.444954
frame_000143.png,0.5,0.5,0.488021,0.433945
frame_000144.png,0.5,0.5,0.484896,0.43945
frame_000145.png,0.5,0.5,0.263542,0.436697
frame_000146.png,0.5,0.5,0.500521,0.438532
frame_000147.png,0.5,0.5,0.498958,0.440367
frame_000148.png,0.5,0.5,0.506771,0.342202
frame_000149.png,0.5,0.5,0.536979,0.36422
frame_000150.png,0.5,0.5,0.46875,0.459633
frame_000151.png,0.5,0.5,0.499479,0.46055
frame_000152.png,0.5,0.5,0.443229,0.456881
frame_000153.png,0.5,0.5,0.460417,0.440367
frame_000154.png,0.5,0.5,0.539062,0.449541
frame_000155.png,0.5,0.5,0.536979,0.444037
frame_000156.png,0.5,0.5,0.639583,0.441284
frame_000157.png,0.5,0.5,0.396354,0.433945
frame_000158.png,0.5,0.5,0.5,0.444037
frame_000159.png,0.5,0.5,0.664583,0.817431
frame_000160.png,0.5,0.5,0.488542,0.447706
frame_000161.png,0.5,0.5,0.589583,0.440367
frame_000162.png,0.5,0.5,0.470833,0.433945
frame_000163.png,0.5,0.5,0.516667,0.411927
