filename,tx_norm,ty_norm,cx_norm,cy_norm
f_000000.png,0.316146,0.536667,0.5,0.5
f_000001.png,0.316146,0.536667,0.5,0.5
f_000002.png,0.316146,0.536667,0.5,0.5
f_000003.png,0.316146,0.536667,0.5,0.5
f_000004.png,0.316146,0.536667,0.5,0.5
f_000005.png,0.316146,0.536667,0.5,0.5
f_000006.png,0.322396,0.54,0.5,0.5
f_000007.png,0.405208,0.550833,0.5,0.5
f_000008.png,0.441667,0.540833,0.5,0.5
f_000009.png,0.484896,0.543333,0.5,0.5
f_000010.png,0.492188,0.546667,0.5,0.5
f_000011.png,0.574479,0.546667,0.5,0.5
f_000012.png,0.543229,0.5525,0.5,0.5
f_000013.png,0.507812,0.548333,0.5,0.5
f_000014.png,0.79375,0.546667,0.5,0.5
f_000015.png,0.705208,0.535,0.5,0.5
f_000016.png,0.540625,0.559167,0.5,0.5
f_000017.png,0.491667,0.5525,0.5,0.5
f_000018.png,0.508333,0.974167,0.5,0.5
f_000019.png,0.508333,0.974167,0.5,0.5
f_000020.png,0.311979,0.558333,0.5,0.5
f_000021.png,0.497396,0.535,0.5,0.5
f_000022.png,0.759375,0.534167,0.5,0.5
f_000023.png,0.639583,0.535833,0.5,0.5
f_000024.png,0.51875,0.530833,0.5,0.5
f_000025.png,0.58125,0.528333,0.5,0.5
f_000026.png,0.58125,0.528333,0.5,0.5
f_000027.png,0.515104,0.528333,0.5,0.5
f_000028.png,0.404167,0.53,0.5,0.5
f_000029.png,0.465104,0.5325,0.5,0.5
f_000030.png,0.480729,0.535,0.5,0.5
f_000031.png,0.247917,0.535,0.5,0.5
f_000032.png,0.454167,0.533333,0.5,0.5
f_000033.png,0.503125,0.538333,0.5,0.5
f_000034.png,0.508333,0.974167,0.5,0.5
f_000035.png,0.673958,0.525833,0.5,0.5
f_000036.png,0.568229,0.514167,0.5,0.5
f_000037.png,0.509375,0.5425,0.5,0.5
f_000038.png,0.508333,0.974167,0.5,0.5
f_000039.png,0.345833,0.558333,0.5,0.5
f_000040.png,0.470833,0.545,0.5,0.5
f_000041.png,0.498958,0.5475,0.5,0.5
f_000042.png,0.508333,0.974167,0.5,0.5
f_000043.png,0.6,0.5175,0.5,0.5
f_000044.png,0.528125,0.5275,0.5,0.5
f_000045.png,0.508333,0.974167,0.5,0.5
f_000046.png,0.302604,0.533333,0.5,0.5
f_000047.png,0.461979,0.5375,0.5,0.5
f_000048.png,0.493229,0.541667,0.5,0.5
f_000049.png,0.790625,0.541667,0.5,0.5
f_000050.png,0.648958,0.536667,0.5,0.5
f_000051.png,0.539062,0.531667,0.5,0.5
f_000052.png,0.510417,0.540833,0.5,0.5
f_000053.png,0.340625,0.540833,0.5,0.5
f_000054.png,0.473958,0.540833,0.5,0.5
f_000055.png,0.497917,0.541667,0.5,0.5
f_000056.png,0.567708,0.541667,0.5,0.5
f_000057.png,0.54375,0.538333,0.5,0.5
f_000058.png,0.50625,0.536667,0.5,0.5
f_000059.png,0.217188,0.536667,0.5,0.5
f_000060.png,0.333333,0.530833,0.5,0.5
f_000061.png,0.470833,0.549167,0.5,0.5
f_000062.png,0.627083,0.545833,0.5,0.5
f_000063.png,0.552604,0.529167,0.5,0.5
f_000064.png,0.499479,0.533333,0.5,0.5
f_000065.png,0.36875,0.533333,0.5,0.5
f_000066.png,0.456771,0.531667,0.5,0.5
f_000067.png,0.502604,0.546667,0.5,0.5
f_000068.png,0.578646,0.546667,0.5,0.5
f_000069.png,0.505729,0.531667,0.5,0.5
f_000070.png,0.709896,0.533333,0.5,0.5
